observation_date,Market Expectations,Consumer Expectations,DIFF
1/1/03,2.12,2.5,0.38
2/1/03,2.16,2.7,0.54
3/1/03,2.05,3.1,1.05
4/1/03,1.99,2.4,0.41
5/1/03,1.98,2,0.02
6/1/03,1.86,2.1,0.24
7/1/03,2.17,1.7,-0.47
8/1/03,2.37,2.5,0.13
9/1/03,2.27,2.8,0.53
10/1/03,2.44,2.6,0.16
11/1/03,2.66,2.7,0.04
12/1/03,2.54,2.6,0.06
1/1/04,2.49,2.7,0.21
2/1/04,2.43,2.6,0.17
3/1/04,2.45,2.9,0.45
4/1/04,2.53,3.2,0.67
5/1/04,2.75,3.3,0.55
6/1/04,2.64,3.3,0.66
7/1/04,2.56,3,0.44
8/1/04,2.49,2.8,0.31
9/1/04,2.4,2.8,0.4
10/1/04,2.36,3.1,0.74
11/1/04,2.39,2.8,0.41
12/1/04,2.44,3,0.56
1/1/05,2.42,2.9,0.48
2/1/05,2.39,2.9,0.51
3/1/05,2.54,3.2,0.66
4/1/05,2.49,3.3,0.81
5/1/05,2.41,3.2,0.79
6/1/05,2.28,3.2,0.92
7/1/05,2.29,3,0.71
8/1/05,2.33,3.1,0.77
9/1/05,2.39,4.3,1.91
10/1/05,2.41,4.6,2.19
11/1/05,2.48,3.3,0.82
12/1/05,2.4,3.1,0.7
1/1/06,2.4,3,0.6
2/1/06,2.45,3,0.55
3/1/06,2.41,3,0.59
4/1/06,2.52,3.3,0.78
5/1/06,2.62,4,1.38
6/1/06,2.54,3.3,0.76
7/1/06,2.58,3.2,0.62
8/1/06,2.63,3.8,1.17
9/1/06,2.51,3.1,0.59
10/1/06,2.46,3.1,0.64
11/1/06,2.45,3,0.55
12/1/06,2.37,2.9,0.53
1/1/07,2.36,3,0.64
2/1/07,2.35,3,0.65
3/1/07,2.32,3,0.68
4/1/07,2.39,3.3,0.91
5/1/07,2.38,3.3,0.92
6/1/07,2.44,3.4,0.96
7/1/07,2.44,3.4,0.96
8/1/07,2.42,3.2,0.78
9/1/07,2.46,3.1,0.64
10/1/07,2.47,3.1,0.63
11/1/07,2.44,3.4,0.96
12/1/07,2.4,3.4,1
1/1/08,2.42,3.4,0.98
2/1/08,2.53,3.6,1.07
3/1/08,2.59,4.3,1.71
4/1/08,2.42,4.8,2.38
5/1/08,2.48,5.2,2.72
6/1/08,2.42,5.1,2.68
7/1/08,2.42,5.1,2.68
8/1/08,2.43,4.8,2.37
9/1/08,2.35,4.3,1.95
10/1/08,2.15,3.9,1.75
11/1/08,2.72,2.9,0.18
12/1/08,0.74,1.7,0.96
1/1/09,1.21,2.2,0.99
2/1/09,1.66,1.9,0.24
3/1/09,1.63,2,0.37
4/1/09,1.97,2.8,0.83
5/1/09,2.08,2.8,0.72
6/1/09,2.19,3.1,0.91
7/1/09,2.2,2.9,0.7
8/1/09,2.36,2.8,0.44
9/1/09,2.18,2.2,0.02
10/1/09,2.32,2.9,0.58
11/1/09,2.49,2.7,0.21
12/1/09,2.55,2.5,-0.05
1/1/10,2.66,2.8,0.14
2/1/10,2.6,2.7,0.1
3/1/10,2.57,2.7,0.13
4/1/10,2.74,2.9,0.16
5/1/10,2.45,3.2,0.75
6/1/10,2.22,2.8,0.58
7/1/10,2.12,2.7,0.58
8/1/10,2.02,2.7,0.68
9/1/10,2.2,2.2,0
10/1/10,2.52,2.7,0.18
11/1/10,2.62,3,0.38
12/1/10,2.78,3,0.22
1/1/11,2.73,3.4,0.67
2/1/11,2.67,3.4,0.73
3/1/11,2.7,4.6,1.9
4/1/11,2.89,4.6,1.71
5/1/11,2.6,4.1,1.5
6/1/11,2.52,3.8,1.28
7/1/11,2.73,3.4,0.67
8/1/11,2.55,3.5,0.95
9/1/11,2.18,3.3,1.12
10/1/11,2.23,3.2,0.97
11/1/11,2.26,3.2,0.94
12/1/11,2.35,3.1,0.75
1/1/12,2.4,3.3,0.9
2/1/12,2.5,3.3,0.8
3/1/12,2.57,3.9,1.33
4/1/12,2.57,3.2,0.63
5/1/12,2.4,3,0.6
6/1/12,2.48,3.1,0.62
7/1/12,2.49,3,0.51
8/1/12,2.64,3.6,0.96
